Pin [Pa]	ΔP local [Pa]	ΔP dist [Pa]	ΔP total [Pa]	Pout [Pa]	u [m/s]
14902.3846	712	147.2968537	859.2968537	951.21	1.00
14931.14915	726.3112	149.884207	876.195407	963.07599	1.01
14960.20515	740.7648	152.490845	893.255645	975.07176	1.02
14989.55258	755.3608	155.1167203	910.4775203	987.19731	1.03
15019.19138	770.0992	157.761786	927.860986	999.45264	1.04
15049.1215	784.98	160.4259958	945.4059958	1011.83775	1.05
15079.34289	800.0032	163.109304	963.112504	1024.35264	1.06
15109.85553	815.1688	165.8116654	980.9804654	1036.99731	1.07
15140.65935	830.4768	168.5330353	999.0098353	1049.77176	1.08
15171.75431	845.9272	171.2733695	1017.200569	1062.67599	1.09
15203.14037	861.52	174.0326244	1035.552624	1075.71	1.10
15234.8175	877.2552	176.8107569	1054.065957	1088.87379	1.11
15266.78563	893.1328	179.6077242	1072.740524	1102.16736	1.12
15299.04474	909.1528	182.4234843	1091.576284	1115.59071	1.13
15331.59479	925.3152	185.2579953	1110.573195	1129.14384	1.14
15364.43572	941.62	188.111216	1129.731216	1142.82675	1.15
15397.5675	958.0672	190.9831057	1149.050306	1156.63944	1.16
15430.99008	974.6568	193.873624	1168.530424	1170.58191	1.17
15464.70344	991.3888	196.7827308	1188.171531	1184.65416	1.18
15498.70753	1008.2632	199.7103868	1207.973587	1198.85619	1.19
15533.0023	1025.28	202.6565528	1227.936553	1213.188	1.20
15567.58773	1042.4392	205.6211901	1248.06039	1227.64959	1.21
15602.46377	1059.7408	208.6042604	1268.34506	1242.24096	1.22
15637.63039	1077.1848	211.605726	1288.790526	1256.96211	1.23
15673.08754	1094.7712	214.6255491	1309.396749	1271.81304	1.24
15708.83519	1112.5	217.6636929	1330.163693	1286.79375	1.25
15744.87331	1130.3712	220.7201204	1351.09132	1301.90424	1.26
15781.20186	1148.3848	223.7947952	1372.179595	1317.14451	1.27
15817.82079	1166.5408	226.8876815	1393.428481	1332.51456	1.28
15854.73008	1184.8392	229.9987434	1414.837943	1348.01439	1.29
15891.9297	1203.28	233.1279458	1436.407946	1363.644	1.30
15929.41959	1221.8632	236.2752535	1458.138453	1379.40339	1.31
15967.19974	1240.5888	239.4406319	1480.029432	1395.29256	1.32
16005.27011	1259.4568	242.6240467	1502.080847	1411.31151	1.33
16043.63065	1278.4672	245.8254639	1524.292664	1427.46024	1.34
16082.28135	1297.62	249.0448499	1546.66485	1443.73875	1.35
16121.22216	1316.9152	252.2821712	1569.197371	1460.14704	1.36
16160.45305	1336.3528	255.5373948	1591.890195	1476.68511	1.37
16199.974	1355.9328	258.8104879	1614.743288	1493.35296	1.38
16239.78496	1375.6552	262.1014181	1637.756618	1510.15059	1.39
16279.8859	1395.52	265.4101532	1660.930153	1527.078	1.40
16320.2768	1415.5272	268.7366614	1684.263861	1544.13519	1.41
16360.95762	1435.6768	272.080911	1707.757711	1561.32216	1.42
16401.92833	1455.9688	275.4428706	1731.411671	1578.63891	1.43
16443.1889	1476.4032	278.8225094	1755.225709	1596.08544	1.44
16484.7393	1496.98	282.2197964	1779.199796	1613.66175	1.45
16526.57949	1517.6992	285.6347012	1803.333901	1631.36784	1.46
16568.70945	1538.5608	289.0671936	1827.627994	1649.20371	1.47
16611.12915	1559.5648	292.5172435	1852.082044	1667.16936	1.48
16653.83856	1580.7112	295.9848212	1876.696021	1685.26479	1.49
16696.83765	1602	299.4698973	1901.469897	1703.49	1.50
16740.12638	1623.4312	302.9724425	1926.403642	1721.84499	1.51
16783.70474	1645.0048	306.4924277	1951.497228	1740.32976	1.52
16827.57268	1666.7208	310.0298244	1976.750624	1758.94431	1.53
16871.73019	1688.5792	313.5846038	2002.163804	1777.68864	1.54
16916.17724	1710.58	317.1567378	2027.736738	1796.56275	1.55
16960.91379	1732.7232	320.7461982	2053.469398	1815.56664	1.56
17005.93982	1755.0088	324.3529573	2079.361757	1834.70031	1.57
17051.2553	1777.4368	327.9769875	2105.413787	1853.96376	1.58
17096.8602	1800.0072	331.6182613	2131.625461	1873.35699	1.59
17142.7545	1822.72	335.2767515	2157.996752	1892.88	1.60
17188.93817	1845.5752	338.9524312	2184.527631	1912.53279	1.61
17235.41118	1868.5728	342.6452737	2211.218074	1932.31536	1.62
17282.17351	1891.7128	346.3552524	2238.068052	1952.22771	1.63
17329.22513	1914.9952	350.082341	2265.077541	1972.26984	1.64
17376.56601	1938.42	353.8265132	2292.246513	1992.44175	1.65
17424.19613	1961.9872	357.5877432	2319.574943	2012.74344	1.66
17472.11547	1985.6968	361.3660053	2347.062805	2033.17491	1.67
17520.32398	2009.5488	365.1612738	2374.710074	2053.73616	1.68
17568.82166	2033.5432	368.9735234	2402.516723	2074.42719	1.69
17617.60848	2057.68	372.8027289	2430.482729	2095.248	1.70
17666.68441	2081.9592	376.6488654	2458.608065	2116.19859	1.71
17716.04942	2106.3808	380.511908	2486.892708	2137.27896	1.72
17765.70349	2130.9448	384.3918321	2515.336632	2158.48911	1.73
17815.6466	2155.6512	388.2886132	2543.939813	2179.82904	1.74
17865.87873	2180.5	392.2022272	2572.702227	2201.29875	1.75
